Substance,Macro-region,Sector,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
GWP_100_AR5_N2O,Asia-Pacific Developed,Fires,18.690850164381,19.747989097659,24.191735392656,33.508583772252,21.070134854705,21.070134854705,18.457407697428,8.3808606705746,21.455149682437,24.420151112366,31.034150415775,40.728500112291,48.761203218457,18.11690433903,31.827054367435,11.864366840779,33.465740401357,29.088678157878,14.898252263174,19.47677131856,8.3811633954714,53.930379855838,52.942953203112,15.156667594377,25.146450945048,23.082421570343,11.654581080001,29.337533771697,28.714803132481,27.117910471967,12.708533506026,12.425053768445,14.009399696903,45.434791866098
CO2,Asia-Pacific Developed,Forest Land,-492.73476711813,-494.13513568318,-494.03609970437,-493.6136946059,-491.55685159983,-487.76022836965,-489.14517904523,-483.89681406884,-487.75623610831,-481.41277117878,-470.90455612922,-471.91438913609,-473.31069642452,-474.0767465762,-475.06864468014,-475.36501136292,-471.99548848979,-467.78590258088,-474.2266342713,-480.22424380559,-471.59920211695,-462.74669288749,-466.63776035171,-459.24477461172,-453.1788510611,-448.36415399451,-438.38150320917,-415.65126245682,-411.37967091743,-410.09486666575,-422.37287065046,-414.72881303811,-413.90781229046,-414.04429357601
CO2,Asia-Pacific Developed,Organic Soil,3.3047180397849,3.3327647735166,3.2917436204237,3.2296274675457,3.2931119966151,3.2331219990263,3.3390055854623,3.2102453980772,3.280299633969,3.4403613334133,3.3484042695355,3.3688798444508,3.1580852360149,3.1223707469792,3.2711863433887,3.1928383911057,3.3181814320448,3.1701600998156,3.2533335078951,3.2405262692609,3.3929643933141,3.582205220145,3.2779701200888,3.1260443184243,3.2591174313954,3.0706775478238,3.061879566188,3.3059294968662,3.2032471779858,3.0402548032979,3.1222771885779,3.1222771885779,3.1222771885779,3.1222771885779
CO2,Asia-Pacific Developed,Other Land,20.772620182413,11.982971612463,-9.3723050305057,-15.033923393275,-7.5194271902747,-24.325037791492,-18.063651273865,-15.287007159195,-27.32557727018,-32.537989219494,-25.673968987037,-28.967717531385,-34.528712357542,-20.07877933429,-20.513577601733,-10.827434108658,-1.6095994481604,8.8816024034095,12.415362139363,26.992825958191,12.317759688318,20.190146641175,14.758274928663,1.4881867639292,-1.4847054973067,-9.7986253325005,-29.163522536001,-41.656930933157,-45.996808668293,-48.672106120574,-45.426054999469,-48.556039754426,-48.556039754426,-48.556039754426
CO2,Eastern Asia,Deforestation,4.0819956485258,3.9988076485258,3.9156196485258,3.8324316485258,3.7492436485258,3.6660556485258,4.0557236485258,4.4453916485258,4.8350596485258,5.2247276485258,5.6143956485258,5.2537296485258,4.8930636485258,4.5323976485258,4.1717316485258,3.8110656485258,3.8464285188207,3.8817913891155,3.9171542594103,3.9525171297052,3.98788,4.204268,4.420656,4.637044,4.853432,4.0506533333333,3.2581006666667,3.493548,3.404662,3.403776,3.40289,3.40289,3.40289,3.40289
CO2,Eastern Asia,Fires,141.13527530094,138.69179354983,191.50868996557,145.78056972368,118.61550522848,118.61550522848,74.988898078894,25.620026603638,128.48167842108,104.86805146052,153.22438581969,54.518181190981,7.25010014217,26.34519528826,16.19811050001,8.79379822779,6.85553613306,8.39731974045,31.45066608468,16.84197543091,10.89384736452,9.83486093275,6.11773109083,7.38062579597,16.32438280143,8.26550739092,7.79944557822,6.04565747113,10.15987875441,9.46788708018,8.29705081051,5.59848422339,5.00649753516,6.85259563494
GWP_100_AR5_CH4,Eastern Asia,Fires,12.815449541142,12.448601038457,18.483473425491,15.899090056269,11.25551714795,11.25551714795,7.7530252695584,2.784301262289,12.519025182025,9.880413923482,15.013039683933,4.8528747943371,0.96981977018472,2.9433271400462,2.4154680322153,1.174645260635,1.0807992664585,1.5407107067167,3.565723989483,1.8038387425514,1.1340640599669,1.4373794335457,1.1075132364078,0.90971217794436,1.9045398743896,1.3214172063677,0.9787047546528,0.70158837567336,0.88006438991912,1.0087677396328,0.75777842104748,0.56458750233284,0.62937244542732,1.2945531202783
GWP_100_AR5_N2O,Eastern Asia,Fires,6.9204326063415,6.8076951139159,9.5692656107871,7.9413083461211,5.9276415051844,5.9276415051844,4.0423038523195,1.5431298059495,6.5602383550521,5.108332103263,7.9823346472163,2.662628076116,0.60840807037127,1.7596937189431,1.2932754846821,0.73150585155045,0.66190950702881,0.93331396681179,1.84970274294,0.99272046567677,0.67110158188234,0.93173115883256,0.78602751861096,0.59161763812024,1.0909742696797,0.87385982384671,0.63551581750943,0.40400244461896,0.47885766634096,0.57242754721719,0.41850602384674,0.30662135331536,0.35922790800881,0.85640971518606
CO2,Eastern Asia,Forest Land,-621.02045657829,-629.30726507527,-639.10504300837,-646.08097639362,-661.75253657875,-661.27330514752,-657.44294244996,-667.35553330565,-670.84850301059,-683.15430114294,-696.65955063255,-708.17732707628,-714.92109989671,-719.41067136178,-728.55974096526,-735.95507813228,-742.98611895167,-715.54267144403,-675.20477736579,-627.13596549765,-600.44024804341,-605.72208879478,-611.66719647619,-597.29684081656,-655.63189995488,-692.19261534384,-627.18516434163,-638.26770938476,-629.04109838441,-690.8776583003,-651.89205420662,-660.16908565277,-665.22681248204,-670.16970308143
CO2,Eastern Asia,Other Land,-211.1292174999,-211.0533854999,-210.9775534999,-210.9017214999,-210.8258894999,-210.7500574999,-210.7417274999,-210.7333974999,-210.7250674999,-210.7167374999,-210.7084074999,-210.7089254999,-210.7094434999,-210.7099614999,-210.7104794999,-210.7109974999,-218.93715599992,-227.16331449994,-235.38947299996,-243.61563149998,-251.84179,-267.256006,-282.670222,-298.084438,-313.498654,-346.75920333333,-380.01306266667,-414.294922,-375.602448,-375.609974,-375.6175,-375.6175,-375.6175,-375.6175
CO2,Eurasia,Deforestation,15.958761335951,13.390228541399,12.940570402283,12.693088484322,9.8061147159654,11.046933882402,9.3571941487642,8.049850372084,7.9281177456458,8.4090239540969,8.3074851151483,7.3451653883581,8.3006389189942,8.3997645175298,9.0985213837429,9.4618072078362,10.243882946872,10.977044597816,10.284470932272,13.719451166027,9.8322207362208,12.659452838496,11.564682359384,10.580486022078,6.8361259283086,15.022788242566,4.899390046407,5.3593749548926,3.6308349354143,13.072278849815,2.8703108405171,18.334716888753,18.334716888753,18.334716888753
CO2,Eurasia,Fires,413.94288492627,438.05022784752,391.46892326605,258.24956302276,589.50450482465,589.50450482465,535.40115694955,348.27324276957,194.71248310651,428.45823090671,506.39399661095,156.1993054672,172.25798622446,362.93089281861,170.07692929432,144.99926079841,160.25457941489,98.20398667336,354.03178937465,149.37448568962,193.52593684334,175.44940237032,280.21242348092,129.91659171117,260.62220329971,97.8566407375,203.12715632997,109.49685880055,254.17405711612,196.55825373566,152.33917339664,188.25058531564,90.21472391388,139.59238798494
GWP_100_AR5_CH4,Eurasia,Fires,34.760907668129,36.835642172094,33.3604330256,21.271970943442,48.019071974738,48.019071974738,43.923822508864,27.558242233061,18.112481698174,35.447905105742,41.960155575337,13.922835743054,39.015196376903,69.021808285309,30.40782293911,40.339187433817,32.301224585568,22.284257019432,82.756428364198,32.705220904278,37.139242905317,28.921799161038,54.768142328308,29.843181847181,41.247186265302,18.157999053978,38.469751905205,20.344439688949,57.45423322154,34.833176206676,27.253192144324,34.137511530029,15.872738005729,36.440639741132
GWP_100_AR5_N2O,Eurasia,Fires,18.674794210767,19.841742845016,18.505551955303,11.820935394532,26.152734379798,26.152734379798,23.667619636629,15.36743159191,10.553706858534,19.897645916094,23.330267430429,8.1614492452112,10.359469601237,12.906589194324,8.9064763689541,6.4449322838379,8.8385348951154,5.0394658517344,11.173280175983,5.2661220780319,8.7212452139485,6.7118731391339,9.4286128992848,3.2377807435155,10.613456551521,5.2710906776171,6.4508522026442,7.0888865710002,7.0855075061415,8.138667858026,5.3513813363871,6.5949514715466,3.4044147511349,3.0776671252037
CO2,Eurasia,Forest Land,-1796.7723547663,-1793.8492442746,-1792.0648445319,-1920.0949505545,-2065.0620517895,-2057.2314928199,-2085.1469446512,-1996.2347027255,-2042.4142702899,-1990.5644196663,-1961.5670272549,-1946.9876900082,-1944.231920414,-1923.7206585801,-1912.5392475492,-1904.8086840509,-1888.9255471054,-1856.2630594351,-1993.3939033102,-2002.7008156077,-1948.4281196013,-1912.6073488639,-1892.838303925,-1894.6241387643,-1867.1493725403,-1860.6387355786,-1853.9399439567,-1851.9345262433,-1776.3131108787,-1805.2774834825,-1801.4060530081,-1791.362989644,-1846.7461515419,-1852.1394759515
CO2,Eurasia,Organic Soil,162.43078935944,161.28196621591,159.7509894282,158.8135189262,157.36311973176,156.14193868317,154.48666451223,152.88759194601,151.5633246253,150.0182264194,148.49039675632,146.96717969098,145.44270874141,143.87881168357,142.60722258912,141.29151907233,139.96536189182,139.17066539505,136.18900239094,134.88318210104,135.2016805612,133.92817146885,133.9621022579,133.42194846138,133.49161941436,133.52998482214,132.79682613534,132.70329940147,133.44132129497,133.3984889528,133.3984889528,133.3984889528,133.3984889528,133.3984889528
CO2,Eurasia,Other Land,-47.455884572917,-1.787222177712,-5.2093078732356,-21.050005928215,-56.273495026425,-78.603372419787,-102.09866433177,-113.79758250433,-124.68298166255,-146.01690376072,-136.09012813214,-148.2913821505,-162.92586988515,-150.38807850143,-132.2592850597,-132.99673296483,-112.0240608207,-146.44639688961,-196.88377903081,-175.69638133749,-207.16977310825,-206.60524179078,-221.01952541908,-192.40226001276,-247.38093184799,-187.33650025349,-218.97899516303,-215.25587521076,-216.31450943819,-204.36577467664,-203.42640591356,-172.43642287851,-172.43642287851,-172.43642287851
CO2,Europe,Deforestation,30.792661812209,30.900912149879,30.965372589581,32.317962163421,31.593402411734,31.978442847333,34.383233160067,35.830330168428,38.875979494288,37.140631875615,36.747718106226,39.134976025867,40.387947346499,41.316399460623,43.322066325667,43.606702108416,45.595648249939,47.376788669236,46.975425792665,46.704086089007,47.278590302857,47.570844712906,48.031845306892,51.458271680609,45.654735477959,48.668457028501,49.433628353671,43.526789555682,42.171011811232,41.946845203432,39.534531554266,39.00750978296,39.00750978296,39.00750978296
CO2,Europe,Fires,44.203916810133,28.324578191485,22.638973644039,15.537670758343,34.009446505746,34.009446505746,37.265088251136,7.9311450085324,50.765559339971,20.342472560603,40.731210568366,37.14474672396,6.20100517159,15.001730836,2.92410263201,12.61021623742,6.39293560437,9.51381533125,2.88427246813,5.62186988247,5.16366975539,6.5557340532,12.04614956758,4.5851498047,7.60824645146,10.79642843941,5.12077078814,20.93092979215,4.77424078163,9.53159899576,11.58378412934,9.77325841273,13.1030921279,6.64104167008
GWP_100_AR5_CH4,Europe,Fires,5.3657105478738,3.0333616241104,2.2336486888516,1.5263281695512,3.4554984185507,3.4554984185507,3.7519922115347,1.1920387278063,5.236871749836,2.0365454128715,4.2544532236426,4.3203358833504,1.7005986960712,2.2388171911563,0.46845482358892,1.2490771155212,0.72310095506908,1.4390469848252,0.45904125496768,0.70930536986428,0.691299561477,1.2991138094572,2.3205961505784,0.49761902772008,1.1174156581619,2.3143741043234,0.60496616721688,1.9956746919606,0.6169358709262,1.9637518702687,1.7787833069236,0.97562746824816,1.9162538653636,0.69342643098484
GWP_100_AR5_N2O,Europe,Fires,1.7755650459629,1.2009124617412,1.0150416649672,0.68983049053441,1.4983798253999,1.4983798253999,1.6313813090682,0.31072350660845,2.1923356330923,0.91812395824049,1.7828036515003,1.5631633840613,0.14497774118886,0.5732575445739,0.13409038019312,0.54860843474296,0.2905746320408,0.40691576883422,0.1614567108656,0.25559519130926,0.22476965063638,0.23510571342551,0.41333317874242,0.20262559365925,0.30678167786645,0.33329336922655,0.23777666531926,0.91733566565139,0.1988931150724,0.29182881889557,0.43646312106969,0.44077976124614,0.50157242857102,0.30790424493063
CO2,Europe,Forest Land,-613.64880153343,-735.99869687165,-729.17196103895,-738.98036781223,-693.81698208493,-654.7923209554,-675.0420189109,-635.89240018465,-632.95907047171,-616.0604522148,-544.17673394555,-595.06514043485,-582.44617613825,-550.17584154477,-528.36039759913,-475.50283563788,-512.53916885834,-445.48230572786,-518.02559140071,-596.04502475815,-487.64775977079,-478.31606137686,-479.32188141341,-466.95746947222,-460.4910059818,-444.26546440782,-428.30729048462,-420.56063157648,-357.01155814301,-353.93514622341,-384.72222567793,-330.86863123968,-336.68587665998,-323.81060152892
CO2,Europe,Organic Soil,122.84071164221,123.21514091201,122.3603198089,121.09917426794,120.31888532819,120.60633848095,120.86532272722,119.87595121279,119.60168923355,119.62503386711,120.31753149487,120.59479254442,120.43183593932,120.01421797112,119.03257903129,119.41156632373,120.54908294317,119.92816561685,119.87492969547,119.78993435681,119.22412754729,119.36090599645,119.62470110329,119.18527740951,119.51204910132,119.47007385531,120.02283576088,120.10719458661,120.03649534556,120.4038630414,120.39778783527,120.39778783527,120.39778783527,120.39778783527
CO2,Europe,Other Land,-46.053031408852,-48.679060143984,-45.406828347371,-53.690575447556,-61.268729610854,-74.003982694129,-70.244707099559,-67.459274379916,-73.320034958339,-149.57385625844,-73.448460130848,-78.488536011804,-79.043595178028,-101.24481712927,-113.82533228414,-116.17520226332,-129.33039875397,-124.88094149582,-74.766391619808,-77.167172096192,-102.16827291751,-88.55860770076,-90.709485870493,-73.290628287607,-76.518603265967,-100.72781001114,-103.2811480297,-105.84778476447,-99.468443610068,-110.54188465194,-123.06538835191,-133.153723008,-133.153723008,-133.153723008
CO2,Latin America and Caribbean,Deforestation,1394.8213360439,1269.8809912731,1433.2055065024,1482.6140317316,1481.8487569608,2472.4902425523,1859.5059181437,1573.4004437352,1829.7983005474,1808.3676373596,1848.3194884703,1778.1287226667,1992.531983307,3024.7159581678,3215.0185013891,2293.1543278236,1973.8146368992,1729.6117191266,1803.4551601579,1237.551281908,1187.5640749232,1209.571003081,1126.7575874987,1301.6685990567,1127.0635379944,1197.0403443285,1274.4521341714,1242.3865676899,1224.4973425796,1218.0004508181,1276.776077617,1276.792179617,1276.792179617,1276.792179617
CO2,Latin America and Caribbean,Fires,78.700385720563,72.185958244444,58.076070616326,50.747941399392,96.508602648745,96.508602648745,82.620758406831,53.687547125095,58.443008996949,81.239058668277,42.831619734298,60.724053653945,24.15990471758,26.93150704132,12.2298007833,17.45970395667,14.80491183988,9.64611981922,22.4098439576,16.0233881773,8.11350793855,20.66603291152,12.48558315859,10.7003296904,8.41528397493,17.20104839954,18.7674700514,45.49202794299,16.0595960532,17.2748892416,25.26147394838,15.03630581187,22.2930689697,31.86074851033
GWP_100_AR5_CH4,Latin America and Caribbean,Fires,58.779588213829,83.875011745282,89.386559053,173.45753067229,76.033206801701,76.033206801701,77.755008852766,45.426624009455,77.755877360812,93.921728454796,150.76297456708,66.408865371402,60.151596033071,77.903414384597,78.695685439512,80.412762909005,58.935340907535,98.196677062458,45.54055126346,34.478235301486,115.74997220118,34.165952383587,45.327872246009,35.164427123271,30.883405224092,51.341025783634,61.241312492681,50.904003509693,28.106794049785,76.069713986973,83.876025422197,48.748320376094,65.933806994918,59.199455574456
GWP_100_AR5_N2O,Latin America and Caribbean,Fires,19.394822378411,27.088862685355,27.81264193946,49.845128151745,25.546721500553,25.546721500553,26.934398561463,13.91510084288,23.703669700075,28.442305884745,43.619006948604,22.788597017388,24.30835567396,24.517679273788,27.863084473173,28.790822064972,18.159759360862,36.127457666378,17.217483484423,10.883876686725,37.914931719119,15.032748152842,18.524354185543,11.413817333173,12.443551360806,18.016011780606,17.445358493165,21.644477112799,11.566779075676,24.708506059921,29.244012662375,18.989162545758,21.010539805025,19.628130215985
CO2,Latin America and Caribbean,Forest Land,-2057.4396283082,-2008.874141989,-2062.0439166747,-2041.0031068442,-1962.1165508135,-1899.3055194068,-1869.0126196797,-1821.0359191888,-1762.7581164221,-1693.3347178545,-1642.328713643,-1668.6126716519,-1608.0441364245,-1499.3176546722,-1429.761089026,-1455.6648050293,-1475.0187192309,-1431.5703321413,-1648.7714477096,-1662.4923289266,-1609.0246260146,-1443.1836703854,-1375.9059417702,-1390.1902973434,-1397.0537369842,-1444.3914440519,-1573.5496969398,-1541.7915584591,-1479.7360045644,-1567.5297627887,-1529.3205364555,-1530.8492603958,-1519.9358616873,-1505.9309189111
CO2,Latin America and Caribbean,Organic Soil,-6.03,-6.03,-6.03,-6.03,-6.03,-6.03,-6.03,-6.03,-6.03,-6.03,-6.03,-6.03,-6.03,-6.03,-6.03,-6.03,-6.03,-6.03,-6.03,-6.03,-6.03,-6.03,-6.03,-6.03,-6.03,-6.03,-6.03,-6.03,-6.03,-4.496865,-2.96373,-2.96373,-2.96373,-2.96373
CO2,Latin America and Caribbean,Other Land,-31.725360764108,-38.300631192345,-39.958786078861,-39.919554817487,-44.677898633719,-33.074822394443,-42.006556438623,-53.353436317783,-56.329353101143,-62.687277873555,-66.246442820631,-63.432470108276,-62.058824116678,-32.653815944376,-29.326996871401,-59.471805945306,-60.091922721883,-65.779068485191,-64.4893110462,-79.556755989924,-75.583794150638,-75.166088782122,-78.153062287832,-76.67556404744,-89.87935207714,-86.221436347972,-100.61126416495,-104.29470807836,-95.720742733971,-96.507663818646,-94.824153617606,-94.824153617606,-94.824153617606,-94.824153617606
CO2,Middle East,Deforestation,81.3748,81.3748,81.3748,81.3748,81.3748,81.3748,81.3748,81.3748,81.3748,81.3748,81.3748,81.3748,81.3748,81.3748,81.3748,81.3748,81.3748,81.3748,81.3748,81.3748,81.3748,81.3748,81.3748,81.3748,81.3748,81.3748,81.3748,81.3748,81.3748,81.3748,81.3748,81.3748,81.3748,81.3748
CO2,Middle East,Fires,2.5619701245828,5.4664921320193,1.7727763869376,2.2435084395747,4.9196051292033,4.9196051292033,7.0721494024844,1.6699528896198,6.8927261359694,4.3825743684721,3.2986897008653,3.9093612177929,0.96283308824,0.64218302946,0.84342029326,0.97533863622,0.74290900301,0.88235063745,0.21463867351,0.20823833291,1.58850771559,1.06338082229,0.38880469633,0.60408926578,1.12315810175,0.77050649742,1.25996456619,0.95048549328,0.4711608646,21.11436877264,3.89363498619,1.02484170182,0.33019562009,3.08654445616
GWP_100_AR5_CH4,Middle East,Fires,0.17345869307681,0.32876581506682,0.10945371989167,0.11464418024883,0.34834244205353,0.34834244205353,0.49635294524378,0.10442170541123,0.4802219127415,0.27736444460817,0.25194213070119,0.26777865931078,0.07483231282212,0.04833761443196,0.06145638582524,0.0624699144664,0.0480322421278,0.0749900392892,0.04231667677608,0.0357888617702,0.17648460486552,0.05983668018076,0.04798826412352,0.0437244435236,0.07027481096188,0.0802012545572,0.09692057578364,0.06170887833012,0.05269270272728,0.94476036265436,0.30683469616408,0.07707937143984,0.0327878241684,0.17353279733636
GWP_100_AR5_N2O,Middle East,Fires,0.1216064089973,0.23988230500769,0.07810445030636,0.097368857636377,0.22273908466964,0.22273908466964,0.32215388318952,0.07408697135884,0.30771794286409,0.1983324660733,0.16640059056041,0.18578685890666,0.064664878215135,0.04177000358189,0.04947975373442,0.05344877110343,0.04150612209919,0.061988790689755,0.036470149530375,0.030926244326965,0.12685483551091,0.05102784440948,0.028833934819325,0.03739570721473,0.06072660242208,0.068625493358465,0.083073166942865,0.050463646099325,0.044854516619755,0.81597571811814,0.26084170771473,0.062000139020605,0.024502295682365,0.14613831708114
CO2,Middle East,Forest Land,-12.080970368558,-11.116858873754,-11.07473372007,-10.659438009743,-10.481207260271,-10.229825075486,-10.181059702063,-9.7557557393391,-9.91091238197,-10.020447161324,-9.9040990489331,-9.8516161125115,-10.64442009705,-10.046538194842,-10.076718012325,-10.006251652263,-9.8239563386132,-9.537965153939,-9.2892968628258,-9.165300346655,-9.2417863862195,-9.1844212975526,-8.8694334641825,-8.7181368847044,-8.5527126734035,-8.9858811499679,-9.2320015419587,-9.0752817507036,-8.9613084931387,-8.8234464215611,-9.1460993639999,-8.9530997248121,-8.8746604176242,-8.7186837158842
CO2,North America,Deforestation,120.8134025789,121.15640121877,121.48356379396,121.73802936791,122.11091279881,122.4498162597,122.79329718266,123.11961080857,123.45909716531,123.76424752585,124.15914321091,124.49507820061,124.78924561328,125.19039732642,125.49928376835,125.91472553337,126.24277891096,126.54426593725,126.89711162135,127.24626938697,127.56645810191,127.96557332257,128.2994226998,128.70567947434,129.14366735889,129.36011456769,129.55767346448,129.71515827654,129.75547993799,129.70860568072,129.73788094924,131.91709899705,131.91709899705,131.91709899705
CO2,North America,Fires,195.11667186498,210.30168755018,126.66055588002,149.29487947812,285.80428894352,285.80428894352,126.93761751504,84.464517716975,327.83010793934,135.30453291351,149.15985999246,89.978119158588,79.08091643087,100.86723609969,72.13293050349,74.96986278886,47.89649615961,62.0204080717,47.10981976992,33.39052904846,44.83086800924,58.61221626982,78.88582860006,115.78768026597,77.31921754409,136.82293399637,59.36951706219,92.58695853335,105.42846516244,72.71783104491,89.35018209603,178.67508794776,70.16766533521,503.16945475424
GWP_100_AR5_CH4,North America,Fires,34.976475018945,36.350020418611,24.173666204407,29.690619583947,58.423766606359,58.423766606359,20.873530848988,15.516014676794,74.317221585297,33.034000734178,30.517556835176,18.609476445259,31.585350344034,32.548222950914,19.380730252649,20.668814394775,20.193873711847,50.548686193636,12.882656047271,10.830278828201,13.024603636751,41.140855274021,29.099217178602,36.360255520075,27.369812141317,32.548028076861,20.842173628749,29.831543618248,18.604117327485,19.223729129609,11.798286016815,40.187808965776,17.986179122977,144.35879446818
GWP_100_AR5_N2O,North America,Fires,7.6952434645199,8.1742985615617,5.4459538724593,6.1363797251099,8.9913642670297,8.9913642670297,5.4073695779195,3.6351169705188,9.8173451835296,6.4886838044706,6.9246025318548,3.5838247950409,1.9908262820021,2.3288490776836,2.5085594734547,2.3155891680709,2.3019060261332,2.2779109269072,2.1315168107647,1.6053724770252,1.9731913906172,2.6428591232047,2.3276194489828,2.6328826848183,2.3368395071264,4.1578091111283,1.6593710865502,3.7268779586659,4.5504189322119,2.2825459450163,4.3220263332784,5.530961654365,2.6140323632879,9.1760569339924
