,EDGAR Country Code,Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
12,AUT,Austria,71.810865002002,74.995738750046,77.199902715073,80.964086516864,78.727149639696,76.204014607332,81.656905697408,79.052996724338,81.064949811641,83.755912893302,81.880903919908,78.206577799067,76.037462450518,75.910736121436,78.379153004897,79.763267177039,78.195290024119,78.309798480041,77.095877311654,76.373009376862,80.457198912368,84.602057110307,79.053578176309,79.025103241821,79.321774595774,82.174889977485,86.151876154066,85.339545713609,85.467681177702,83.402983178634,83.514060310591,88.423173190384,90.276045510392,95.792057694892,95.636489202584,96.201540502504,93.767897933951,90.639006641919,90.265316530338,82.749432587946,88.933580093273,87.197488945325,83.831261169226,84.649350080258,81.020140728691,82.16874390626,82.717423464051,85.163053666982,82.206921313217,83.457355797915,77.27335419252,80.724159206338,75.408468643277,72.921492529812
15,BEL,Belgium,166.9939591664,157.39046343009,168.88662834504,174.70307141601,175.02515601465,155.58765786364,164.98913787848,163.68223506126,167.94119282893,177.24391656943,166.82979133374,155.1829340376,146.86933017294,137.56773308375,141.6682706703,139.11636251481,138.81998171611,137.90175186971,138.29201296493,139.15883959022,140.54955170486,144.48599887704,142.18509892134,140.2580497429,147.58599048134,148.48514324071,153.82842015554,150.1390985294,153.8004204215,149.80095116072,151.19896445046,151.37585959672,143.51802940004,147.21016129468,146.09742055099,143.06457523602,139.56758474533,136.84567547766,138.66688505523,131.214568116,139.62397367272,129.27066637768,127.4017007747,128.8169093458,122.01308642173,126.73472887837,125.74710727657,123.72833695085,124.17797296948,123.71378376298,115.81771587286,119.75269745651,112.27966756945,106.37018790875
19,BGR,Bulgaria,91.517329525409,92.210281428316,95.154495981517,96.311924688087,97.239809066481,103.76348769524,104.66182921998,107.63226367129,113.81814405347,117.79383376413,121.32833153751,117.72803385379,119.77826978188,118.69329839838,116.69748997278,118.1813619102,119.20174095232,119.27590967947,118.56976695487,116.65859377308,103.43889674008,86.179038252635,81.385137882527,80.068901426642,76.288182494843,77.011102373445,77.475417004736,74.516104559569,71.469490622058,64.293007455201,62.443300275996,64.37638286473,60.996610216506,67.030617156488,65.30884966225,66.061652705517,67.36583173991,71.101095525281,67.849207266248,59.544066078186,62.336392427143,67.931221229507,62.639815671735,57.348537796789,59.978998009957,63.86992001809,61.364336978966,63.720770030751,60.050891923842,58.42663105705,53.565859526505,60.029908911077,64.232607296639,53.372279020841
48,CYP,Cyprus,2.867729815657,2.9040304578521,3.3974089579913,3.5143723218287,2.7717380009366,2.6973256991733,3.1395831364257,3.318922644837,3.4556703507191,3.649094537326,3.8321414892537,3.710325615155,3.7990975015564,3.8006946308517,3.8809525291387,3.8390882865056,4.1988075159694,4.7903524849001,4.8591145102057,5.1108346567729,5.4173905662226,5.9531828943516,6.3558878186922,6.6393846019365,6.9139848297429,6.8022707723741,7.1938536515554,7.2678665258821,7.591919834478,7.8665209283676,8.1259555046484,8.0451024704868,8.2647067372062,8.936392280515,8.881896771111,8.9873544706766,9.1045633595591,9.4077861583855,9.6107253868968,9.4077136857842,9.4598640140874,9.2152091493745,8.6119431715328,7.8916398970876,8.2830048903177,8.3657000786492,8.7980768775211,8.9971678287348,9.2323501351535,9.7501930698634,9.3304635347149,9.6143929394349,10.076377301249,10.324656394181
49,CZE,Czechia,220.40614329997,221.3796284184,221.48616805293,219.72565211925,203.29164107266,211.12917802664,216.99728723408,228.85736332526,226.94073579877,237.34236608629,230.22070904511,230.62098766005,232.58025976676,233.68050683903,236.94632364681,233.7560185622,232.25556747319,231.93897870307,228.02083579435,220.07931774863,199.97850364301,180.40872812879,172.61608260786,166.1897736402,158.46073719869,157.46351310468,162.51996409529,158.90840120524,152.46744856944,144.46804386971,158.53166987077,158.56939515242,152.79372532532,155.86318316501,156.59947795422,153.45246347622,155.10954366895,156.88052922487,150.57403921613,143.49094642806,145.33443385991,142.85904547876,138.56731168377,133.9384707886,131.93973935306,133.50038466904,134.64302810022,135.49090248118,133.98353390553,127.85815107925,117.97419468084,123.43237359788,123.93098060341,114.43841612936
50,DEU,Germany,1325.8315254815,1318.1563674026,1342.3107806565,1397.2549486869,1363.4728689556,1299.1766879967,1362.3050369689,1338.2257296425,1379.966380336,1433.4600778146,1379.8040859052,1342.8176374461,1292.2227736808,1305.1323813698,1322.2004375429,1322.3881633668,1311.0628922872,1299.4250687174,1291.5567055146,1278.614413174,1235.8734753387,1210.5872338878,1147.1962393242,1133.7637480124,1119.9064759889,1111.8679820974,1139.1671556428,1100.8719221226,1080.8582149307,1039.4905258402,1035.3782513489,1043.9911077745,1024.4592866869,1026.9516653382,1010.2559734569,983.69810891969,990.36925343432,962.41125376581,961.55460639232,896.29659874069,942.52635004742,913.72119325713,924.7270490013,941.91487547532,902.5303390662,907.52011941403,910.0183072112,893.89041919691,861.88918243504,808.78970788765,749.79971307093,783.48862532211,761.98352337759,681.81032815187
53,DNK,Denmark,80.357956452507,75.843649145779,77.500525657048,77.025250724633,71.66498047775,73.349891818686,77.753730771571,81.120730028691,81.06326265345,84.16913006428,84.645669347369,72.48051928351,75.405319450333,73.284720559173,72.336079213358,79.826923750385,80.829493139499,78.341989840274,73.886762657309,68.751265812218,69.047888155947,79.760265262693,73.755170286797,76.383070460634,80.164823264117,77.143077864657,90.603209219651,80.686825850353,76.64356331395,73.611540406084,69.570932528166,71.220351601983,70.392545875747,75.930537548357,69.788078925333,66.07776290261,73.320938675494,68.827313227444,65.126658844055,62.853420662967,63.212611826787,57.909895018757,53.026480898656,55.24799372121,51.102098701365,49.155280774435,51.108814145243,48.923648333391,49.160792639328,45.843799721805,43.557275495971,44.940952530611,43.226134428028,41.831473036828
60,ESP,Spain and Andorra,190.473060111,188.13023335896,201.50709374427,215.92214533906,229.54232160179,235.94865001675,254.78137236918,247.68915606638,248.43776650762,261.31487694742,274.70656962754,279.7025050969,275.56279786852,277.69017729498,268.76825777952,261.7462575578,267.02601246518,265.39708803467,273.27931795469,292.74939648027,297.73627576366,305.66524330795,313.70446687423,298.88085452886,311.5440733473,327.35408830811,320.99419213566,344.14376242772,353.60576143643,377.93055585386,396.60299625519,394.72607642623,412.28585717025,422.19604954561,438.47502999073,452.78219518931,445.06016113184,462.12107350595,426.91322852208,388.32044496205,375.24444276907,374.82813724374,367.79864730947,339.56618241858,337.50868365824,350.23532992423,341.62461346042,355.27300879255,348.24915524484,329.75380545251,290.38756240928,308.59537068415,304.88633036956,285.38389989719
61,EST,Estonia,25.482119095709,25.645134490144,27.606426284657,30.996082851753,34.128554291667,36.780626896497,38.423093716675,39.849134660455,42.195236716868,43.71989579676,45.204297698342,46.272955199268,46.46657376954,46.299789885222,45.307641146053,44.523737746142,43.532725453749,42.947099635984,40.939943025758,37.66616828618,44.46316870997,40.858765064501,30.465370809696,25.216556733301,25.474538130713,23.363333177686,24.359182532224,23.835597593521,21.922552559275,20.41024741478,20.676653607197,20.966761332661,20.069328558655,22.212687255529,22.654035569114,22.535815622779,21.562562010741,25.356185162921,23.476275948892,20.106247784891,25.092786457603,25.285401851697,24.243149771363,26.601731181455,25.778133311521,23.917870352157,23.781203951505,25.177054554173,26.494197063553,18.781075673164,14.511079688449,15.283585452578,15.568330774954,14.363974872585
63,FIN,Finland,57.953643448477,57.266522252525,61.183698010635,65.508279945493,61.679376953103,61.38195545322,67.234669204134,66.635872153893,73.654784323077,73.772984417423,74.603498386778,64.917334081073,62.914964598883,61.907432893404,62.196197992775,66.254623057147,66.441589099184,71.052509324003,69.503405839851,69.40535078706,72.22300335501,72.588794972938,69.298416142979,70.745015269985,77.79595643902,74.440674303787,80.707977689471,78.770071315328,76.048319676069,75.212639357609,73.727179560009,79.722406427256,81.958662939386,90.479262772094,86.662177148652,73.724617611406,86.069152970234,84.187947955451,75.200656080639,71.536514291237,81.398841384608,73.17497922713,67.090366465397,67.965669696138,63.954829402625,60.222273999928,63.008227842675,59.95370691574,61.315626855042,57.832944862524,52.647140861922,52.448274647419,48.220395797341,43.45353679725
