,Substance,Sector,EDGAR Country Code,Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
5,CO2,Agriculture,AUT,Austria,0.0064428570016971,0.0064428570016971,0.0064428570016971,0.0064428570016971,0.0051857141441771,0.0050285713156057,0.0051857141441771,0.0045571427154171,0.0040857141152286,0.0039285712866571,0.0053428569725726,0.0049238093533406,0.0066523808103451,0.009271428372296,0.0090095235818114,0.0074904758196846,0.0085904758482811,0.0087999996578091,0.010004761305424,0.0087476185623783,0.012728570829288,0.010999999142983,0.010999999142983,0.013095237238263,0.015714284000126,0.012047617619131,0.012047617619131,0.012047617619131,0.012047617619131,0.013619045904846,0.012047617619131,0.012047617619131,0.012047617619131,0.016238093809691,0.022523806954309,0.014352379525699,0.035304760483779,0.053952379537051,0.032999998578971,0.040857141152286,0.031428568002011,0.027761901621017,0.041904758480171,0.060342852005921,0.062857137721137,0.081138088991743,0.071499995353807,0.066419043629968,0.054109520188675,0.052852377331507,0.050233329769557,0.044890473025933,0.041962267753663,0.039930500380131
14,CO2,Agriculture,CHE,Switzerland and Liechtenstein,0.013619045676953,0.013619045676953,0.013619045676953,0.013619045676953,0.0042428563714286,0.011838093696185,0.024514283546453,0.031376187366062,0.038657138919201,0.043790471738823,0.042114281605318,0.041433329424198,0.045780949128415,0.051019043623852,0.052380948156835,0.052957138261568,0.05243332885187,0.050599995032205,0.051385709403834,0.058038090385979,0.048242853576049,0.034571425144931,0.037190473049777,0.037190473049777,0.054999995148703,0.036142853432406,0.042428567146754,0.036142852859154,0.03457142457344,0.03142856743052,0.042428566575263,0.032999995716234,0.026714282573377,0.031428568002011,0.037714282289611,0.054999996863177,0.053428569147194,0.040857141147006,0.031428569144994,0.033942856004777,0.026714284861103,0.068095236383886,0.059819047625524,0.060133333282667,0.046095237813406,0.053585714034015,0.058195237957577,0.048976190337817,0.015452380813337,0.013985714146113,0.042795233213538,0.043109518870681,0.048389517910681,0.054694996533016
24,CO2,Agriculture,DEU,Germany,1.5579142726303,1.5579142726303,1.5579142726303,1.5579142726303,1.5434571341183,1.3305285324772,1.6114999112221,1.620142764504,1.5267999049865,1.593271337842,1.6259570465283,1.6327141856384,1.5761427673527,1.5239713471222,1.4763570702941,1.5085713491209,1.6166856141478,1.5637284734784,1.597357046119,1.6751427677831,0.45052851584337,0.51280947556747,0.44838090955446,0.41014281631054,0.55052375500139,0.4583332701927,0.29307137528571,0.30847137248571,0.34068565234286,0.36362850531429,0.45885705942857,0.44471420485714,0.44785706142857,0.483999912,1.2426856396779,1.2851142102606,0.82877134325053,0.87402848554888,1.009171305986,0.832857062975,1.06432846377,1.0800427683473,1.0598760887022,1.1039808505611,1.1969046309897,1.2637427324307,1.1919808372017,1.2335189649945,0.88560469458304,0.84024279465996,0.73427614127906,0.69457138182475,0.61926853837332,0.56596881844746
122,CO2,Buildings,AUT,Austria,14.82991972683,13.66607324234,13.92705344829,15.44981436662,13.6920094753,13.67406715386,14.69574590214,14.32597145665,14.96444146161,16.49358932492,18.1252035369,17.41425163062,17.5059871853,16.31537321165,16.36644499822,17.10136976335,16.56888152889,16.61867752113,14.48898831985,13.52475225428,13.12766095099,14.48027623767,13.76855083413,13.4351204447,12.41369017128,13.56183420868,14.97218081704,13.45299984549,13.50251769519,14.01320776202,12.87403904436,14.05607452576,13.35123706881,14.10790018776,13.624751588,13.27244895412,12.930353308,10.96451422488,11.30549471691,10.38892682083,10.58236797473,9.3261325656,8.91053010922,9.1620156002201,8.15633239351,8.57854891333,8.8127737105801,8.97926794509,8.18775827344,8.42019337541,8.427145813,9.4138129028199,7.9461886781159,7.4332103200767
144,CO2,Buildings,CHE,Switzerland and Liechtenstein,17.880659099,18.75831293,18.822983892,21.106913366,18.287568223,17.777717434,19.774706413,19.357991649,20.209587961,19.145994066,19.145864947,16.158518347,15.328909103,16.705422028,16.991372722,19.828602692,19.808870157,19.110414922,19.109334486,18.605937856,17.226233005,18.519610943,18.545355773,18.00430402,16.721996248,17.761793838,18.596815217,17.241307425,18.058566272,18.178842485,16.42358888,17.678208439,16.659861627,17.529411569,17.397371634,17.723939507,16.733909573,14.891935132,15.802300894,15.527986975,16.647470589,13.401593098,14.658743806,15.518443156,12.161028506,13.043745509,13.556062941,12.99079177,11.91973676,11.931798648,11.034601573,12.387054613,9.9630560429256,9.7639782407511
160,CO2,Buildings,DEU,Germany,268.38063974999,255.71051653805,260.69685927527,274.95660176284,250.78945971677,245.25862757179,264.18384475174,259.31601577759,267.17077392501,281.84265299559,254.54450408424,240.20787178762,227.67512197473,220.63027879992,234.78103507244,251.41105292348,261.0866353816,254.31035703793,236.95539972999,205.89590873249,213.49451095723,213.25761099774,196.10132706502,201.2434896908,190.21192319223,192.66979436993,217.50053359806,202.77443019892,194.01525088614,176.56033927267,172.08968871407,188.29558520969,176.21075964565,173.86570430882,164.09023375398,160.73377091062,169.03349318881,130.01908373158,154.07581755604,143.15541075827,150.6985701913,129.85919128062,137.21956493797,147.74244613145,127.03818722543,130.7197488949,134.29926714817,132.42338512045,128.14435213956,130.07861096796,131.27967189918,129.39504048027,128.6030678145,123.63348574136
328,CO2,Fuel Exploitation,AUT,Austria,3.2660760501912,3.4826323734216,3.5129191945384,3.4701694636139,3.6408243880541,3.6896383020271,3.9765128112122,3.6692120584528,3.5516795312719,3.6538241509983,3.685824883883,3.1673620314704,2.8144911313293,3.2225183269538,3.3584672983271,3.5133372907637,3.649794588098,3.5878432234114,3.7811754287237,3.5552560534829,6.1158034387592,5.8573874636924,5.533410887056,5.849801126309,6.419685460567,6.5927636875807,5.8691512545308,6.4239967085895,6.8688522150374,6.0211288896338,6.5407404505708,6.6895994716908,7.7565585930877,7.1570827201083,7.4614952201544,8.1177170729711,8.0620471977533,8.1038220192411,9.0310682398685,6.2104603517409,7.7951178577236,8.2634774837725,7.571421396612,7.440131502324,7.4671191523158,6.7125147941098,6.2904218732671,6.4597109910649,5.6063601086302,6.4831790233595,5.760887150656,6.1554477555343,5.7106522990866,5.7056747633917
350,CO2,Fuel Exploitation,CHE,Switzerland and Liechtenstein,0.7153214988448,0.7708270299328,0.667292264804,0.928767490947,1.0159937716387,0.9124723876617,0.83941124347,0.739501540981,0.7274377100962,0.7227740099388,0.735078634494,0.7007985188705,0.6490395442732,0.6387285153115,0.6526337392695,0.6380145889285,0.6084179230972,0.5967979936338,0.5500173417133,0.4570093863695,0.4164289151878,0.5326246827363,0.542776925215,0.6161644462607,0.7024637862195,0.687336356164,0.7278535857345,0.7041260009107,0.7179145174902,0.7423602579165,0.6696918874652,0.716990816295,0.7411256270612,0.6879814256507,0.9342160404295,0.9719287771607,1.0953697296328,0.9134482707743,1.012727330909,0.9595660359737,0.945377497206,0.8749024172137,0.7773698619693,0.9255838629485,0.958755384265,0.4562617520402,0.4009904091725,0.3918204748717,0.40703342978581,0.37129086238516,0.3768429893432,0.32846423285679,0.41018135867344,0.38311935110419
366,CO2,Fuel Exploitation,DEU,Germany,80.79944611837,76.61875611573,74.99892197937,74.04737231183,70.364840183445,63.892887497521,63.50957146785,60.594164920666,63.512004928757,68.19063318722,68.312082862147,62.50965565064,62.241219598102,72.365552748228,67.538335918374,62.000570900426,55.635340820751,55.104010020442,54.807420130154,62.506775603964,55.388967402719,61.970193602348,47.168505820249,46.409844506703,48.349219690412,45.602512162955,43.190425015918,39.901381387601,42.50084512775,37.387847083875,40.647144171356,37.347198117178,37.288240674169,34.86223063359,36.369961128004,34.883566625332,35.645886947044,37.022381196285,34.290858476238,30.648660018035,35.595359069865,34.650644168548,34.101745215682,33.980811896856,34.218832390907,34.790187575758,34.289658432323,34.092987810581,31.373937362492,30.977717909342,27.53901832384,30.007359229947,27.576232314127,24.071348605381
530,CO2,Industrial Combustion,AUT,Austria,13.40354997984,13.54475065109,13.89138308986,14.75266792355,15.91093233398,14.24965430223,14.65848436971,14.3846876597,14.64959114161,14.38933337429,12.95270481548,10.39108607117,9.93283796358,10.1740232654,10.91407615125,11.31783319486,10.65231559092,10.57772865215,10.80224638308,10.51345797649,9.51737026823,10.07621113755,9.14124213035,9.3970738508,9.25989958172,9.70746481045,9.82736262608,10.97056568965,10.30864827511,9.52151883933,10.68408382699,10.54061476228,10.29679205068,11.05134210852,11.7129193382,11.04616114783,11.26794151883,10.96604070359,11.22981556969,10.60349584698,11.10105623984,11.22125761671,11.03505616557,10.65142523711,10.31398560951,10.41917710752,10.70939949521,10.63538929467,10.54310550365,10.65062750065,10.39705007294,10.79058462854,10.397717569598,9.56100482588
