,EDGAR Country Code,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
11,AUT,Austria,0.23716166769568,0.24108220996673,0.2206518512413,0.21941646676192,0.2150738569038,0.21701977088061,0.22229978362263,0.21568806362556,0.20854309818939,0.19651641320879,0.19035236913358,0.19901972328135,0.19988883037143,0.21012410341422,0.20419780169714,0.20089603018007,0.18927621636596,0.17638572992671,0.17313008702377,0.16492318303815,0.17405097588555,0.16580708514633,0.1583288206554,0.15983314816592,0.15197557706838,0.15258215018069,0.15060482499161,0.15163288128357,0.14290352424107,0.14300290481302,0.14181316776206,0.14212314512368,0.12667574644346,0.12352173904419
14,BEL,Belgium,0.3336230162676,0.33679330475799,0.32643339473642,0.32513661186258,0.33142863489571,0.32568112605914,0.33300040998282,0.31313468503016,0.31459902008522,0.29593391936334,0.28799197618489,0.28519287749335,0.26585091772235,0.26988877608334,0.25861312203238,0.24749829670634,0.23543935058418,0.22266073676483,0.22462012352194,0.21693209761848,0.22440736687808,0.20430527454527,0.19987397286,0.20117036158726,0.18758391580087,0.19094494470887,0.18708713677792,0.18114973541698,0.178605741109,0.17403818649775,0.17205685938395,0.16637609364804,0.15142843774786,0.14152657243486
18,BGR,Bulgaria,0.78664131831497,0.71583698826252,0.72903523707016,0.72802087144702,0.68125957342008,0.66858040701708,0.63933168040222,0.71597367047829,0.66163086932518,0.64974779598958,0.60337633723178,0.59914574381578,0.53620490112583,0.55992415220239,0.51219566324666,0.48395041485569,0.46207165172326,0.4572642145799,0.41114909789284,0.37331750312827,0.38483864910716,0.41079248260386,0.37597900184194,0.34609795064992,0.35856833450316,0.36928259195239,0.34437294274654,0.34804017235739,0.31938823757054,0.29869643586315,0.28515629351517,0.29682545371644,0.30560678261461,0.24933172834108
47,CYP,Cyprus,0.33148515088245,0.36159578593493,0.35288487182325,0.36606244109095,0.35996461579829,0.32681833446274,0.34136983921241,0.33600834476319,0.33077673322504,0.32642632795637,0.31820954516277,0.30306455876231,0.3001622914152,0.3162605281414,0.29928864561467,0.28882548678499,0.27942079658334,0.27472128338406,0.27077283314727,0.2705045524965,0.26593139314515,0.25797873657991,0.2496984311781,0.24494965968655,0.26174606184006,0.25561981566343,0.25224956371508,0.24396975070628,0.23696408337444,0.23712518382974,0.23501014122459,0.22032453393047,0.21979396078703,0.21978760468187
48,CZE,Czechia,0.69049951378821,0.70478841682966,0.67777874542067,0.6521420762958,0.60423368625796,0.56378078890332,0.55808040117778,0.54852174504316,0.52817207999315,0.49362828821146,0.52084277822891,0.50558198037533,0.47963724853268,0.47234525092073,0.45277865492753,0.41620347825262,0.3940339067601,0.37750456231498,0.35285012899223,0.35267719260509,0.34871725806275,0.3368480432758,0.32931366959669,0.31845913126416,0.30676744728638,0.29452586188471,0.2896963189691,0.27719324087344,0.26555819234803,0.24596510990612,0.24016733555842,0.24265722374704,0.23804108701969,0.22049499014473
49,DEU,Germany,0.36546859219264,0.34059266105853,0.31666815093547,0.31604760211319,0.30489206449755,0.29810049395986,0.30297814842258,0.28763803539311,0.27683357156809,0.26130677829032,0.25290710906678,0.25079391153133,0.2465900421016,0.24893278415083,0.24204155176008,0.2339667507563,0.22689415905934,0.21411590169611,0.21189141451991,0.20943587597295,0.2114019390334,0.19720064254415,0.19874420269948,0.20155625240451,0.18895351735502,0.18720520302727,0.18362568211324,0.17566317891398,0.16772863694241,0.15572044184544,0.15010704418139,0.15204112844403,0.14524450253225,0.13035990517317
52,DNK,Denmark,0.28959083863997,0.32992127311042,0.29922585944459,0.30985417476945,0.30873213827686,0.28836426106732,0.3291336280116,0.28385427711584,0.26377913852126,0.24608925775355,0.22418141343319,0.22762272430271,0.22393272800924,0.24061165769661,0.21539985411668,0.19929129684944,0.21280954427388,0.19796707725953,0.18828699567171,0.19109082321911,0.18865317403333,0.1705477791177,0.1558129438956,0.16083945382005,0.14639903517376,0.13759835788535,0.13856891617376,0.12900422025256,0.12710081556859,0.11678092037386,0.11371330050624,0.10980966616478,0.1028116773719,0.09764933754159
59,ESP,Spain and Andorra,0.24431952906174,0.24459848484124,0.24872045858047,0.23943733993738,0.24377243593589,0.24926962931137,0.23809218333301,0.24614933205542,0.24227371251394,0.24781177524164,0.24709306491652,0.23661752556332,0.24057374601479,0.23922298513922,0.24092351459124,0.24001900173505,0.22662774176024,0.22712791033039,0.20797869431828,0.1965748253881,0.18964654558416,0.19099155311913,0.19312410834504,0.18083754436209,0.17726755696629,0.17715188457703,0.16770210288864,0.16936222873878,0.16230605468205,0.1506962924708,0.14938874880099,0.14920202034725,0.1393664015147,0.12726581952634
60,EST,Estonia,1.4690946461439,1.4673916270191,1.3879324802873,1.218772079841,1.2518007767805,1.0983393327816,1.0912164609605,0.944503606129,0.83256584299093,0.77844069807804,0.71633962719106,0.68525017822281,0.61432167916184,0.63190349737548,0.60340330616433,0.54804531316436,0.47772432861869,0.52219515930862,0.50963399795378,0.51126978590994,0.62284550891704,0.58512819397302,0.54346534094765,0.58776615767497,0.55291833661151,0.50368396388145,0.48548609195503,0.48584178683848,0.49261707494461,0.33566430890233,0.26187710096504,0.25717483742727,0.2631794730745,0.25034440769714
62,FIN,Finland,0.36990865914205,0.39503522413387,0.38997708441831,0.40077092178231,0.42391458707841,0.38921863026669,0.40706006974611,0.37362158585152,0.34204574127872,0.32409316118733,0.30035187503333,0.31651431609295,0.31993101443326,0.34625356039151,0.31891465578199,0.26396687395481,0.29623518845904,0.27517780707785,0.2438897459589,0.25238494043948,0.27831286533406,0.24397868815166,0.2268619826194,0.23191291734525,0.21902634599887,0.20512825077127,0.20874884149838,0.19248420419479,0.19463838368463,0.18136184108955,0.16908116620092,0.16379372874274,0.14860566305193,0.13531618318034
