,EDGAR Country Code,Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
12,AUT,Austria,71.810865002002,74.995738750046,77.199902715073,80.964086516864,78.727149639696,76.204014607332,81.656905697408,79.052996724338,81.064949811641,83.755912893302,81.880903919908,78.206577799067,76.037462450518,75.910736121436,78.379153004897,79.763267177039,78.195290024119,78.309798480041,77.095877311654,76.373009376862,80.457198912368,84.602057110307,79.053578176309,79.025103241821,79.321774595774,82.174889977485,86.151876154066,85.339545713609,85.467681177702,83.402983178634,83.514060310591,88.423173190384,90.276045510392,95.792057694892,95.636489202584,96.201540502504,93.767897933951,90.639006641919,90.265316530338,82.749432587946,88.933580093273,87.197488945325,83.831261169226,84.649350080258,81.020140728691,82.16874390626,82.717423464051,85.163053666982,82.206921313217,83.457355797915,77.27335419252,80.724159206338,75.408468643277,72.921492529812
34,CHE,Switzerland and Liechtenstein,51.317743807388,53.268385564646,54.018547350416,57.993295114112,53.344552031766,50.821721287536,52.702678841139,53.216099859663,54.518430307917,53.322966601071,54.148452174532,51.515649966139,49.205775900075,53.372733870894,52.941997681266,56.079942381668,56.000992119438,54.205397810276,54.093035132477,53.939294900276,54.666152584361,56.925735674384,56.633131433134,53.973889982071,52.880886150264,53.678415261079,54.221479007126,52.770809330622,54.277442117729,54.382987995586,53.592997821481,55.108821996659,53.46593636015,54.699365857799,55.344619054369,56.066691369807,55.464994694899,53.459063342164,55.064409259545,53.243291813983,55.006156315677,50.994604032957,52.353363042492,53.613246274889,49.962050813989,49.317777186066,49.809998109809,48.892135529521,47.597570635212,47.403491728149,44.982333534545,46.731464855931,43.56265368788,43.446393813877
50,DEU,Germany,1325.8315254815,1318.1563674026,1342.3107806565,1397.2549486869,1363.4728689556,1299.1766879967,1362.3050369689,1338.2257296425,1379.966380336,1433.4600778146,1379.8040859052,1342.8176374461,1292.2227736808,1305.1323813698,1322.2004375429,1322.3881633668,1311.0628922872,1299.4250687174,1291.5567055146,1278.614413174,1235.8734753387,1210.5872338878,1147.1962393242,1133.7637480124,1119.9064759889,1111.8679820974,1139.1671556428,1100.8719221226,1080.8582149307,1039.4905258402,1035.3782513489,1043.9911077745,1024.4592866869,1026.9516653382,1010.2559734569,983.69810891969,990.36925343432,962.41125376581,961.55460639232,896.29659874069,942.52635004742,913.72119325713,924.7270490013,941.91487547532,902.5303390662,907.52011941403,910.0183072112,893.89041919691,861.88918243504,808.78970788765,749.79971307093,783.48862532211,761.98352337759,681.81032815187
