,EDGAR Country Code,Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
11,AUT,Austria,9.5540942016224,9.9327631272295,10.183179096898,10.643282229516,10.323125614119,9.977364177825,10.687027542768,10.351884839069,10.627621977047,10.994648497128,10.759999201013,10.284236301756,10.002060257784,9.9841822574261,10.303163545086,10.474672210693,10.254595505819,10.250845749971,10.066260335985,9.9359024085987,10.416587227049,10.884513375057,10.095043395396,10.013203503992,9.9810845058547,10.284562682098,10.744996314985,10.623779480536,10.628920498903,10.359190618267,10.34962974523,10.919474321927,11.098044665857,11.716464672773,11.639126279248,11.655636052232,11.318146125763,10.904885192091,10.825191316172,9.8863843647039,10.574804855353,10.307202358588,9.8421801068647,9.8684449916247,9.3846954819513,9.4679067858702,9.4945011746885,9.7491318325881,9.3931229519365,9.5203561722934,8.7988506529131,9.1721576191726,8.5487437527805,8.2481045729908
14,BEL,Belgium,17.337088713708,16.287410892448,17.423835956608,17.972161786981,17.95678638376,15.922450478051,16.844598641506,16.673855272606,17.072729150584,17.986308277359,16.904427128932,15.705836800206,14.850556448691,13.898706903412,14.30072475318,14.028663360674,13.981912920924,13.870220227209,13.886106561041,13.943520015693,14.045825384126,14.391895818467,14.10832388303,13.861271679592,14.53204447463,14.576945823667,15.068955669265,14.685253870582,15.023533590498,14.607316401221,14.705209535412,14.669624924862,13.846542601046,14.129010580358,13.940460545428,13.564609049786,13.142452134992,12.791945585213,12.86430208524,12.082038996045,12.764220028126,11.7378999914,11.494717440805,11.551532024604,10.87538206107,11.227485083287,11.070846881905,10.82553935516,10.799475390937,10.699307685777,9.9671252110466,10.262464431957,9.5875388582916,9.053552464784
18,BGR,Bulgaria,10.757278245192,10.773525485931,11.053410014104,11.12703287996,11.178094508938,11.874480760147,11.93063223722,12.228312745478,12.892842673884,13.30524181274,13.664993184587,13.220337836064,13.412013855834,13.25727358307,13.011407243817,13.167414301956,13.285276066938,13.311345239644,13.267942805159,13.111463820879,11.699419517573,9.830058122394,9.3802312848109,9.3365121785193,9.0019059733114,9.190768353639,9.3435397569831,9.0743490786434,8.7826683455554,7.9699967589949,7.8075693755394,8.117518061765,7.7543748185573,8.5893961922131,8.4342834493805,8.5975684698008,8.834909526071,9.3962687113409,9.0341179770061,7.9860282319393,8.4186149978788,9.2345407797639,8.5686128042228,7.8925726447314,8.3048673885141,8.8987544261278,8.6047006977456,8.9943031165972,8.533777043904,8.3601106089453,7.7178374965626,8.7100854485022,9.3852436143541,7.8557961467238
47,CYP,Cyprus,4.67345448682,4.6774395762195,5.409869646898,5.5334773320391,4.3150703926379,4.1512965643563,4.7747844771917,4.98690159518,5.1328113151248,5.3662286894271,5.5910533162151,5.3837361811257,5.4923905114578,5.4758976754045,5.5623591357795,5.4556760129228,5.8943785574176,6.6221798845698,6.5977638333282,6.8049736856601,7.0666470560447,7.6017908854756,7.9388163494193,8.1091621285794,8.2593504195899,7.9523006887832,8.2363913608359,8.1552196674589,8.3546675644412,8.4947043122592,8.6145193553688,8.3778540787881,8.459564342266,8.9942885156905,8.7903888234588,8.7454551803871,8.7082508627933,8.8443148587355,8.8859844917497,8.567421031058,8.5024078644695,8.1924621718418,7.5872140428988,6.8988896731249,7.1881740940526,7.2057228192124,7.5189526523101,7.6276273398625,7.7642474130558,8.1358256029473,7.7280967667969,7.9065731409827,8.2323343964454,8.3804029173545
48,CZE,Czechia,22.449601164003,22.481046086161,22.392063317682,22.091017246401,20.31392866077,20.965946517576,21.41131826636,22.435016844127,22.112298993362,23.011223952055,22.245051263864,22.248472139851,22.437920000653,22.568450483281,22.91373236566,22.625783394525,22.489040665523,22.457950821875,22.071089108173,21.292091653474,19.338036556977,17.436185886341,16.672566486807,16.043032497365,15.293666486381,15.201381773875,15.701501757897,15.370398429694,14.768968718888,14.017041882843,15.406980822458,15.438254065,14.903215376431,15.222054551093,15.29366452993,14.959004842586,15.061664902843,15.147879538157,14.44521568105,13.68300591487,13.793687903715,13.517182385606,13.088687014374,12.642264456897,12.44890685975,12.589862565216,12.689124211916,12.760131328102,12.609918251856,12.027381651124,11.09465725065,11.607332480522,11.656412773082,10.766621143039
49,DEU,Germany,16.87388193758,16.730717754067,17.012444353626,17.701066794283,17.277258556508,16.473112005689,17.289341730309,17.003749973222,17.559214553839,18.271158397123,17.621883943485,17.187823754752,16.578691249202,16.777615421112,17.015794975862,17.015342296149,16.84358943038,16.647749044796,16.483609075664,16.24346906044,15.620576722942,15.215167994367,14.331676448404,14.080505960777,13.837793626533,13.686112388356,13.990162338739,13.50764752009,13.262194167927,12.757365170054,12.705929615831,12.804082473889,12.552817501944,12.571865183822,12.363058426434,12.044614367362,12.145749265816,11.831300871796,11.851891281772,11.070091480094,11.651260032133,11.289707579721,11.407060513522,11.590644390708,11.07539160245,11.10689700878,11.109340658163,10.885942007557,10.473362207096,9.8108085928935,9.0840274443734,9.4864829316153,9.2258756704959,8.2587616666489
52,DNK,Denmark,16.295689612752,15.285634361363,15.529455801321,15.352085451042,14.215237072494,14.488209291416,15.30202700824,15.915231363696,15.864614613708,16.443426189257,16.519644910765,14.141712540714,14.717971533512,14.31451234662,14.139020889225,15.608755896905,15.803492928691,15.309302956678,14.424134330271,13.400865789055,13.430540905225,15.472678527933,14.261438862356,14.715256488203,15.382795422717,14.742499639136,17.241793163491,15.288226495292,14.460012927598,13.832153664564,13.025361862837,13.292190008944,13.101650141881,14.095221904208,12.917116237395,12.187646476454,13.467468484242,12.58278181672,11.845949077689,11.373199913064,11.379735839207,10.372782281637,9.4510237469069,9.7995313295264,9.0224065537892,8.6408787913989,8.9478251685075,8.5328720134189,8.5432310130496,7.9380123994853,7.5140207521342,7.7231401496152,7.3979350381701,7.1311750829915
59,ESP,Spain and Andorra,5.6053966595645,5.4746473292892,5.7970136719631,6.1401524597636,6.4528026312964,6.5586291154418,7.0046647761444,6.7373660306114,6.6896379287791,6.9712409849198,7.2679848460066,7.3468073088364,7.1930293859914,7.2100912989004,6.947052395427,6.7398015124615,6.8541846865675,6.7950874102776,6.9818126491915,7.4639650104512,7.5748109272196,7.7573710590944,7.9387700229649,7.5401465884018,7.8347090959286,8.2063169998745,8.022989458543,8.57538105787,8.7759479764629,9.3224803297976,9.6960176283535,9.5362660134382,9.8197200738452,9.8982976622266,10.114367601274,10.280550993568,9.9509264543011,10.18024610148,9.2811662410394,8.3552717410034,8.0199972379825,7.9905207570331,7.8493183004823,7.2715981646796,7.2548500627874,7.5485493871805,7.3709234875362,7.6642945492264,7.5057818954114,7.1004814180578,6.2503754617417,6.6437462740673,6.5674291394442,6.1522387715781
60,EST,Estonia,18.734097261953,18.673958895038,19.917050570791,22.164281573257,24.196582906171,25.864692200288,26.809677581794,27.598456018433,29.014719913409,29.854751907106,30.658621382087,31.183968414849,31.130462649762,30.83733391815,29.981234213244,29.245755219483,28.341064593843,27.686193124067,26.173254551063,23.991648431868,28.406614143092,26.390970904788,20.032331991311,16.94592740434,17.483160355209,16.303563926313,17.18169941754,16.908636484795,15.588262210172,14.53938795317,14.77843315193,15.06525068272,14.514278679608,16.179274137073,16.613767954057,16.623623813506,15.980554369481,18.865226634714,17.523401294976,15.051501901358,18.837014081227,19.03376254409,18.297683478646,20.129037789775,19.553182219971,18.184069543652,18.119840870063,19.224555450144,20.274288609593,14.404896826935,11.157571235483,11.783797573306,12.04047237042,11.143502616435
62,FIN,Finland,12.564829675086,12.37023580966,13.154474682851,14.011087667415,13.12667904288,13.008096519888,14.201187300744,14.037677436552,15.479385135938,15.461658527969,15.580567888572,13.496860391798,13.012133068372,12.732443655604,12.723742480417,13.490461241229,13.476066376596,14.364576310305,14.009704689867,13.944909955187,14.455529050965,14.462454568318,13.736249292454,13.948727229001,15.262787945895,14.542006033724,15.711172261671,15.289963859917,14.725946059066,14.531231944609,14.211235566215,15.329816944626,15.720860583645,17.309648326726,16.531674194754,14.018938759939,16.308481549627,15.890484908314,14.13572737872,13.389706286438,15.169992317713,13.577977455392,12.394349593783,12.501456732057,11.713939433701,10.98551688534,11.449525603965,10.854827141649,11.062776506203,10.399010905449,9.4347567469203,9.3691094404106,8.5847241939364,7.7113641166371
