,Africa,Asia-Pacific Developed,Eastern Asia,Eurasia,Europe,Latin America and Caribbean,Middle East,North America,South-East Asia and developing Pacific,Southern Asia,EU27,GLOBAL TOTAL
2005,-1342.5963279297,-475.36501136292,-735.95507813228,-1904.8086840509,-475.50283563788,-1455.6648050293,-10.006251652263,-1585.0758485509,599.31901853438,1314.4858821122,-326.4976066747,-6071.1699416996
2006,-1274.3469910319,-471.99548848979,-742.98611895167,-1888.9255471054,-512.53916885834,-1475.0187192309,-9.8239563386132,-1644.7226461413,565.9869010919,1320.0726767098,-370.57735669336,-6134.2990583463
2007,-1234.991334211,-467.78590258088,-715.54267144403,-1856.2630594351,-445.48230572786,-1431.5703321413,-9.537965153939,-1748.13794018,586.52452454583,1335.7380276253,-307.07663069873,-5987.0489587029
2008,-1267.7841138207,-474.2266342713,-675.20477736579,-1993.3939033102,-518.02559140071,-1648.7714477096,-9.2892968628258,-1983.1450751692,575.18569673637,1340.4329065069,-379.06621342446,-6654.2222366671
2009,-1239.5208809204,-480.22424380559,-627.13596549765,-2002.7008156077,-596.04502475815,-1662.4923289266,-9.165300346655,-2128.6646308429,510.17866138418,1345.2538884322,-446.42437154262,-6890.5166408893
2010,-1187.5678230165,-471.59920211695,-600.44024804341,-1948.4281196013,-487.64775977079,-1609.0246260146,-9.2417863862195,-1983.7705894456,564.0001892949,1350.9681528679,-350.73921352097,-6382.7518122327
2011,-1133.8238298598,-462.74669288749,-605.72208879478,-1912.6073488639,-478.31606137686,-1443.1836703854,-9.1844212975526,-1925.8665281202,607.93434521437,1350.423201132,-347.89983011512,-6013.0930952398
2012,-1096.6424048499,-466.63776035171,-611.66719647619,-1892.838303925,-479.32188141341,-1375.9059417702,-8.8694334641825,-1937.6721361843,609.55937589127,1347.5931106727,-350.84748511815,-5912.4025718709
2013,-1049.361648905,-459.24477461172,-597.29684081656,-1894.6241387643,-466.95746947222,-1390.1902973434,-8.7181368847044,-1907.0032448351,666.2512211221,1344.6437924203,-340.80788586471,-5762.5015380906
2014,-998.85786508691,-453.1788510611,-655.63189995488,-1867.1493725403,-460.4910059818,-1397.0537369842,-8.5527126734035,-1898.1126859214,669.05373286994,1341.9750912471,-341.91970400497,-5727.999306087
2015,-941.17731283971,-448.36415399451,-692.19261534384,-1860.6387355786,-444.26546440782,-1444.3914440519,-8.9858811499679,-1893.5501122601,587.95252621608,1330.2522484353,-326.50519807485,-5815.3609449751
2016,-935.57379790155,-438.38150320917,-627.18516434163,-1853.9399439567,-428.30729048462,-1573.5496969398,-9.2320015419587,-1926.8959713035,592.30347709655,1328.7993506313,-313.30535106424,-5871.9625419512
2017,-894.48437847612,-415.65126245682,-638.26770938476,-1851.9345262433,-420.56063157648,-1541.7915584591,-9.0752817507036,-1916.0489953886,584.26497560423,1321.6320063509,-305.04414614716,-5781.9173617809
2018,-854.22936543049,-411.37967091743,-629.04109838441,-1776.3131108787,-357.01155814301,-1479.7360045644,-8.9613084931387,-1850.331901269,633.00048708665,1315.5590912757,-251.64172825697,-5418.4444397183
2019,-833.96764500188,-410.09486666575,-690.8776583003,-1805.2774834825,-353.93514622341,-1567.5297627887,-8.8234464215611,-1868.8930845886,635.27991759224,1309.8038001876,-244.10345280489,-5594.3153756929
2020,-791.4109562602,-422.37287065046,-651.89205420662,-1801.4060530081,-384.72222567793,-1529.3205364555,-9.1460993639999,-1931.8849721097,663.45339263071,1302.6320645899,-270.93211652902,-5556.0703105119
2021,-719.96903023039,-414.72881303811,-660.16908565277,-1791.362989644,-330.86863123968,-1530.8492603958,-8.9530997248121,-1658.2598598164,687.15170040502,1295.9868681461,-224.88499454219,-5132.0222011908
2022,-696.49579353725,-413.90781229046,-665.22681248204,-1846.7461515419,-336.68587665998,-1519.9358616873,-8.8746604176242,-1645.5326792193,668.65571847908,1280.8696284128,-231.58661710822,-5183.880300944
2023,-650.86826994231,-414.04429357601,-670.16970308143,-1852.1394759515,-323.81060152892,-1505.9309189111,-8.7186837158842,-1662.6991256364,684.75097047547,1274.0526233029,-217.66404140583,-5129.5774785652
