,Africa,Asia-Pacific Developed,Eastern Asia,Eurasia,Europe,Latin America and Caribbean,Middle East,North America,South-East Asia and developing Pacific,Southern Asia,EU27,GLOBAL TOTAL
1990,1356.088018403,177.08907186008,4.0819956485258,15.958761335951,30.792661812209,1394.8213360439,81.3748,120.8134025789,965.57948939126,97.192537430078,23.77930222535,4243.7920745039
1991,1356.8881010506,163.55334134746,3.9988076485258,13.390228541399,30.900912149879,1269.8809912731,81.3748,121.15640121877,872.79893939126,97.192537430078,23.721453615778,4011.1350600511
1992,1363.3222989406,120.58172362895,3.9156196485258,12.940570402283,30.965372589581,1433.2055065024,81.3748,121.48356379396,886.96076939126,97.192537430078,22.398643314443,4151.9427623276
1993,1356.0972407167,105.27110847952,3.8324316485258,12.693088484322,32.317962163421,1482.6140317316,81.3748,121.73802936791,862.27295939126,97.192537430078,24.891296197984,4155.4041894134
1994,1354.5205502301,92.647893726941,3.7492436485258,9.8061147159654,31.593402411734,1481.8487569608,81.3748,122.11091279881,873.76786939126,97.192537430078,23.878885839285,4148.6120813143
1995,1362.4757288832,82.308427386924,3.6660556485258,11.046933882402,31.978442847333,2472.4902425523,81.3748,122.4498162597,862.00398939126,87.126170444638,24.132261446298,5116.9206072962
1996,1362.3129926431,77.43534344219,4.0557236485258,9.3571941487642,34.383233160067,1859.5059181437,81.3748,122.79329718266,863.98646939126,77.059803459199,25.807505063661,4492.2647752195
1997,1363.1180944089,76.954203433932,4.4453916485258,8.049850372084,35.830330168428,1573.4004437352,81.3748,123.11961080857,855.81693939126,66.993436473759,27.660284708562,4189.1031004406
1998,1360.6105699668,75.327450345454,4.8350596485258,7.9281177456458,38.875979494288,1829.7983005474,81.3748,123.45909716531,880.45447939126,56.92706948832,27.812344775783,4459.590923793
1999,1365.00479845,85.580231524357,5.2247276485258,8.4090239540969,37.140631875615,1808.3676373596,81.3748,123.76424752585,862.57240939126,46.86070250288,28.598318107466,4424.2992102321
2000,1365.6246270814,84.627266643995,5.6143956485258,8.3074851151483,36.747718106226,1848.3194884703,81.3748,124.15914321091,921.30732939126,36.794335517441,28.441169063667,4512.8765891852
2001,1372.7010584254,98.806352418322,5.2537296485258,7.3451653883581,39.134976025867,1778.1287226667,81.3748,124.49507820061,303.42872827245,35.938577416939,30.673545624212,3846.6071884632
2002,1383.9862750251,93.610935872617,4.8930636485258,8.3006389189942,40.387947346499,1992.531983307,81.3748,124.78924561328,310.63398865204,35.115430316437,31.545274162645,4075.6243087004
2003,1397.0749961016,87.797477875893,4.5323976485258,8.3997645175298,41.316399460623,3024.7159581678,81.3748,125.19039732642,273.09605010999,34.292433215935,32.9932685893,5077.7906744243
2004,1419.5907753453,88.761566500471,4.1717316485258,9.0985213837429,43.322066325667,3215.0185013891,81.3748,125.49928376835,387.73685489347,33.376416115434,34.348722377758,5407.9505173701
2005,1440.541394535,108.76413969722,3.8110656485258,9.4618072078362,43.606702108416,2293.1543278236,81.3748,125.91472553337,379.13134147816,32.588639014932,35.053839974385,4518.3489430471
2006,1424.6654168974,109.7305012964,3.8464285188207,10.243882946872,45.595648249939,1973.8146368992,81.3748,126.24277891096,368.28339754628,31.84190991443,36.366621116788,4175.6394011803
2007,1436.1511334051,115.54860739186,3.8817913891155,10.977044597816,47.376788669236,1729.6117191266,81.3748,126.54426593725,454.68914601685,31.036146813928,38.127507090452,4037.1914433478
2008,1457.0792444902,80.815288437849,3.9171542594103,10.284470932272,46.975425792665,1803.4551601579,81.3748,126.89711162135,423.70974490326,34.468240330914,36.16795904024,4068.9766409258
2009,1467.7024023202,70.158847741773,3.9525171297052,13.719451166027,46.704086089007,1237.551281908,81.3748,127.24626938697,499.77279890435,37.611280847899,37.111748147134,3585.7937354939
2010,1502.2713738802,75.003275960385,3.98788,9.8322207362208,47.278590302857,1187.5640749232,81.3748,127.56645810191,282.03462497875,41.134094364885,36.548606792301,3358.0473932484
2011,1983.9734461834,61.080929038718,4.204268,12.659452838496,47.570844712906,1209.571003081,81.3748,127.96557332257,314.68121092613,35.659822,35.148412056348,3878.7413501032
2012,1998.7632465749,56.478727555993,4.420656,11.564682359384,48.031845306892,1126.7575874987,81.3748,128.2994226998,393.67699122477,18.528605,33.653611439174,3867.8965642204
2013,1996.6005800283,62.669863401215,4.637044,10.580486022078,51.458271680609,1301.6685990567,81.3748,128.70567947434,533.75150875673,18.564385,42.025317788078,4190.01121742
2014,2004.0813176251,63.496011270596,4.853432,6.8361259283086,45.654735477959,1127.0635379944,81.3748,129.14366735889,392.43314300012,25.132162,35.866137999106,3880.0689326554
2015,1607.3697601304,52.816537880135,4.0506533333333,15.022788242566,48.668457028501,1197.0403443285,81.3748,129.36011456769,886.07161497752,28.960566,37.85793319683,4050.7356364886
2016,1624.9692337808,52.679373963486,3.2581006666667,4.899390046407,49.433628353671,1274.4521341714,81.3748,129.55767346448,600.96178971597,29.210566,39.1533293622,3850.7966901629
2017,1624.2141556197,50.699538337499,3.493548,5.3593749548926,43.526789555682,1242.3865676899,81.3748,129.71515827654,606.70366171611,29.052566,33.428040748197,3816.5261601504
2018,1631.4658362218,53.893549185198,3.404662,3.6308349354143,42.171011811232,1224.4973425796,81.3748,129.75547993799,745.47134620619,22.853566,31.958596205008,3938.5184288774
2019,1636.4209377746,39.23191490035,3.403776,13.072278849815,41.946845203432,1218.0004508181,81.3748,129.70860568072,630.860028,17.647566,31.549011532992,3811.667203227
