,Africa,Asia-Pacific Developed,Eurasia,Europe,Latin America and Caribbean,North America,South-East Asia and developing Pacific,EU27,GLOBAL TOTAL
1990,0.29612293326,3.3047180397849,162.43078935944,122.84071164221,-6.03,45.698634675089,309.14067,94.656666239704,637.68164664978
1991,0.29612293326,3.3327647735166,161.28196621591,123.21514091201,-6.03,44.961407595383,309.14067,94.846195120083,636.19807243007
1992,0.29612293326,3.2917436204237,159.7509894282,122.3603198089,-6.03,45.185673256304,309.14067,94.259498595004,633.99551904708
1993,0.29612293326,3.2296274675457,158.8135189262,121.09917426794,-6.03,45.470293021842,309.14067,92.806070886241,632.01940661679
1994,0.29612293326,3.2931119966151,157.36311973176,120.31888532819,-6.03,45.751238878977,309.14067,92.011215648684,630.1331488688
1995,0.29612293326,3.2331219990263,156.14193868317,120.60633848095,-6.03,45.774612225715,309.14067,92.176182869757,629.16280432212
1996,0.29612293326,3.3390055854623,154.48666451223,120.86532272722,-6.03,45.683619984997,309.14067,92.736222278766,627.78140574317
1997,0.29612293326,3.2102453980772,152.88759194601,119.87595121279,-6.03,45.625500237086,309.14067,91.955990884601,625.00608172722
1998,0.29612293326,3.280299633969,151.5633246253,119.60168923355,-6.03,45.696767350436,309.14067,91.934531333204,623.54887377651
1999,0.29612293326,3.4403613334133,150.0182264194,119.62503386711,-6.03,40.081554119411,309.14067,92.120229820956,616.5719686726
2000,0.29612293326,3.3484042695355,148.49039675632,120.31753149487,-6.03,39.749767140848,309.14067,93.167951069694,615.31289259483
2001,0.29612293326,3.3688798444508,146.96717969098,120.59479254442,-6.03,46.122651950201,374.34567,93.660561945059,685.66529696331
2002,0.29612293326,3.1580852360149,145.44270874141,120.43183593932,-6.03,46.094770925454,563.26067,93.428125163229,872.65419377546
2003,0.29612293326,3.1223707469792,143.87881168357,120.01421797112,-6.03,45.712064584294,381.15767,93.571673413199,688.15125791922
2004,0.29612293326,3.2711863433887,142.60722258912,119.03257903129,-6.03,45.528321148228,608.85467,92.939846944005,913.56010204528
2005,0.29612293326,3.1928383911057,141.29151907233,119.41156632373,-6.03,45.233058548505,655.33167,93.742644754949,958.72677526893
2006,0.29612293326,3.3181814320448,139.96536189182,120.54908294317,-6.03,45.03535287144,1354.489592,95.113223419658,1657.6236940717
2007,0.29612293326,3.1701600998156,139.17066539505,119.92816561685,-6.03,44.209610694102,440.316514,94.792582584838,741.06123873908
2008,0.29612293326,3.2533335078951,136.18900239094,119.87492969547,-6.03,44.03585256036,380.880436,94.771597156567,678.49967708792
2009,0.29612293326,3.2405262692609,134.88318210104,119.78993435681,-6.03,43.782853340117,657.188358,95.474504437195,953.15097700049
2010,0.29612293326,3.3929643933141,135.2016805612,119.22412754729,-6.03,43.943492386041,413.64128,94.91948282434,709.6696678211
2011,0.29612293326,3.582205220145,133.92817146885,119.36090599645,-6.03,44.013989465336,469.49928,95.152278366566,764.65067508403
2012,0.29612293326,3.2779701200888,133.9621022579,119.62470110329,-6.03,44.091209056867,737.76828,95.52696126891,1032.9903854714
2013,0.29612293326,3.1260443184243,133.42194846138,119.18527740951,-6.03,43.277159641932,483.43328,95.208931721573,776.7098327645
2014,0.29612293326,3.2591174313954,133.49161941436,119.51204910132,-6.03,41.825406593366,974.15228,95.603387978588,1266.5065954737
2015,0.29612293326,3.0706775478238,133.52998482214,119.47007385531,-6.03,45.293558684907,1200.64128,95.644163319003,1496.2716978434
2016,0.29612293326,3.061879566188,132.79682613534,120.02283576088,-6.03,44.40779204553,475.17528,96.26523367347,769.73073644119
2017,0.29612293326,3.3059294968662,132.70329940147,120.10719458661,-6.03,45.857870762157,397.64928,96.405760013057,693.88969718037
2018,0.29612293326,3.2032471779858,133.44132129497,120.03649534556,-6.03,46.879776883576,508.64128,96.420638447688,806.46824363535
2019,0.29612293326,3.0402548032979,133.3984889528,120.4038630414,-4.496865,43.515657027734,856.32428,96.862439460485,1152.4818017585
2020,0.29612293326,3.1222771885779,133.3984889528,120.39778783527,-2.96373,43.515657027734,856.32428,96.862439460485,1154.0908839376
2021,0.29612293326,3.1222771885779,133.3984889528,120.39778783527,-2.96373,43.515657027734,856.32428,96.862439460485,1154.0908839376
2022,0.29612293326,3.1222771885779,133.3984889528,120.39778783527,-2.96373,43.515657027734,856.32428,96.862439460485,1154.0908839376
2023,0.29612293326,3.1222771885779,133.3984889528,120.39778783527,-2.96373,43.515657027734,856.32428,96.862439460485,1154.0908839376
